Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,174.5,0.902452436,161.3267744,0.040409354,149.1120814,150.6391923,152.9936001,156.9355896,161.3267744,165.7296508,169.7021662,172.0839168,173.6324287
2,175.5,0.898698641,161.4380593,0.040339537,149.2377485,150.7628729,153.1143251,157.0516529,161.4380593,165.8365737,169.8055142,172.1852824,173.7325694
2,176.5,0.896143482,161.5422726,0.040276811,149.3541954,150.877665,153.2266371,157.1600033,161.5422726,165.9369248,169.9026209,172.2805514,173.8266863
2,177.5,0.894659668,161.639917,0.040220488,149.4621532,150.9842639,153.3311804,157.2612106,161.639917,166.0311556,169.9939056,172.3701297,173.9151788
2,178.5,0.89413892,161.7314645,0.040169932,149.5622993,151.0833153,153.4285552,157.3558081,161.7314645,166.1196904,170.0797608,172.4543957,173.9984185
2,179.5,0.894475371,161.8173534,0.040124562,149.6552628,151.1754186,153.5193185,157.4442908,161.8173534,166.202924,170.160553,172.5337038,174.0767538
2,180.5,0.895569834,161.8979913,0.040083845,149.7416255,151.2611287,153.6039864,157.5271178,161.8979913,166.281224,170.236624,172.6083849,174.1505102
2,181.5,0.897330209,161.9737558,0.040047295,149.8219242,151.3409575,153.6830356,157.6047139,161.9737558,166.3549321,170.3082921,172.6787478,174.2199918
2,182.5,0.899671635,162.0449969,0.040014473,149.8966533,151.415377,153.7569057,157.6774719,162.0449969,166.4243655,170.3758539,172.7450799,174.2854819
2,183.5,0.902516442,162.1120386,0.03998498,149.9662668,151.4848208,153.8260015,157.7457539,162.1120386,166.4898188,170.4395847,172.8076491,174.3472447
2,184.5,0.905793969,162.17518,0.039958458,150.0311812,151.5496874,153.8906954,157.809894,162.17518,166.5515647,170.4997408,172.8667045,174.405526
2,185.5,0.909440266,162.2346979,0.039934584,150.0917784,151.610342,153.951329,157.8701998,162.2346979,166.6098562,170.5565599,172.9224777,174.4605545
2,186.5,0.913397733,162.2908474,0.039913066,150.1484074,151.6671193,154.0082162,157.9269542,162.2908474,166.6649274,170.6102627,172.9751838,174.5125428
2,187.5,0.91761471,162.343864,0.039893644,150.2013879,151.7203255,154.0616446,157.9804176,162.343864,166.7169951,170.6610542,173.025023,174.5616886
2,188.5,0.922045055,162.3939652,0.039876087,150.2510113,151.7702407,154.1118775,158.0308292,162.3939652,166.7662599,170.7091243,173.0721808,174.6081757
2,189.5,0.926647697,162.4413513,0.039860185,150.2975443,151.8171212,154.1591564,158.0784088,162.4413513,166.8129074,170.7546494,173.1168298,174.6521747
2,190.5,0.931386217,162.4862071,0.039845754,150.3412298,151.8612008,154.2037023,158.1233583,162.4862071,166.8571093,170.7977929,173.1591301,174.6938442
2,191.5,0.93622842,162.5287029,0.039832629,150.3822898,151.9026934,154.2457175,158.1658633,162.5287029,166.8990246,170.8387064,173.1992303,174.7333314
2,192.5,0.941145943,162.5689958,0.039820663,150.4209266,151.9417942,154.2853872,158.2060942,162.5689958,166.9388003,170.8775306,173.2372685,174.7707732
2,193.5,0.94611388,162.6072309,0.039809725,150.4573249,151.9786817,154.3228809,158.2442076,162.6072309,166.9765723,170.914396,173.2733728,174.8062967
2,194.5,0.95111043,162.6435418,0.0397997,150.4916531,152.013519,154.3583538,158.2803474,162.6435418,167.0124668,170.9494236,173.3076624,174.8400201
2,195.5,0.956116576,162.6780519,0.039790485,150.524065,152.0464549,154.3919483,158.3146459,162.6780519,167.0466004,170.9827258,173.3402478,174.8720532
